iter	Passed	Remaining
797	44961	11381
798	45015	11324
799	45077	11269
800	45134	11213
801	45195	11158
802	45247	11100
803	45304	11044
804	45360	10987
805	45411	10930
806	45465	10873
807	45513	10815
808	45567	10758
809	45633	10704
810	45698	10649
811	45749	10592
812	45803	10535
813	45858	10478
814	45911	10421
815	45971	10366
816	46036	10311
817	46091	10255
818	46144	10197
819	46197	10140
820	46254	10084
821	46307	10027
822	46363	9971
823	46421	9915
824	46471	9857
825	46524	9800
826	46578	9743
827	46635	9687
828	46689	9630
829	46742	9573
830	46801	9518
831	46862	9462
832	46917	9406
833	46970	9349
834	47028	9293
835	47080	9235
836	47124	9177
837	47178	9120
838	47234	9064
839	47289	9007
840	47345	8951
841	47395	8893
842	47451	8837
843	47504	8780
844	47562	8724
845	47623	8669
846	47686	8614
847	47746	8558
848	47793	8500
849	47845	8443
850	47897	8386
851	47950	8329
852	47989	8270
853	48042	8213
854	48105	8158
855	48159	8101
856	48221	8046
857	48274	7989
858	48335	7934
859	48394	7878
860	48450	7821
861	48510	7766
862	48563	7709
863	48615	7652
864	48681	7597
865	48731	7540
866	48781	7483
867	48826	7425
868	48880	7368
869	48936	7312
870	48992	7256
871	49043	7198
872	49101	7143
873	49156	7086
874	49217	7031
875	49274	6974
876	49337	6919
877	49394	6863
878	49446	6806
879	49500	6750
880	49553	6693
881	49617	6638
882	49670	6581
883	49722	6524
884	49776	6468
885	49836	6412
886	49880	6354
887	49932	6297
888	49984	6241
889	50036	6184
890	50093	6128
891	50139	6070
892	50190	6013
893	50253	5958
894	50308	5902
895	50368	5846
896	50421	5789
897	50476	5733
898	50532	5677
899	50601	5622
900	50649	5565
901	50701	5508
902	50760	5452
903	50811	5395
904	50867	5339
905	50922	5283
906	50979	5227
907	51035	5170
908	51097	5115
909	51150	5058
910	51201	5002
911	51252	4945
912	51314	4889
913	51364	4832
914	51412	4776
915	51468	4719
916	51508	4662
917	51560	4605
918	51609	4548
919	51660	4492
920	51698	4434
921	51753	4378
922	51802	4321
923	51882	4267
924	51939	4211
925	51999	4155
926	52050	4098
927	52111	4043
928	52163	3986
929	52213	3930
930	52260	3873
931	52308	3816
932	52356	3759
933	52405	3703
934	52453	3646
935	52502	3589
936	52549	3533
937	52597	3476
938	52645	3420
939	52693	3363
940	52740	3306
941	52790	3250
942	52837	3193
943	52886	3137
944	52933	3080
945	52980	3024
946	53028	2967
947	53078	2911
948	53127	2855
949	53175	2798
950	53224	2742
951	53274	2686
952	53328	2630
953	53384	2574
954	53434	2517
955	53485	2461
956	53544	2405
957	53599	2349
958	53650	2293
959	53701	2237
960	53746	2181
961	53804	2125
962	53866	2069
963	53920	2013
964	53978	1957
965	54040	1902
966	54082	1845
967	54125	1789
968	54166	1732
969	54220	1676
970	54267	1620
971	54330	1565
972	54384	1509
973	54439	1453
974	54490	1397
975	54545	1341
976	54602	1285
977	54661	1229
978	54713	1173
979	54768	1117
980	54818	1061
981	54870	1005
982	54932	950
983	54975	893
984	55026	837
985	55077	782
986	55120	725
987	55172	670
988	55226	614
989	55272	558
990	55323	502
991	55366	446
992	55424	390
993	55483	334
994	55551	279
995	55590	223
996	55645	167
997	55699	111
998	55750	55
999	55811	0
